car_prices_in_rupee,kms_driven,transmission,ownership,manufacture,Seats,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol
2,90000,0,2,2009,5,0,0,0,0,1
7.75,10000,0,1,2021,5,0,0,0,0,1
2.15,120000,0,1,2011,5,0,0,0,0,1
2.37,120000,0,1,2011,5,0,0,0,0,1
4.25,46000,0,1,2018,6,0,0,0,0,1
5.75,28000,0,1,2017,5,0,1,0,0,0
8.25,24000,0,1,2020,5,0,0,0,0,1
6.9,23000,0,1,2018,5,0,0,0,0,1
7.75,24300,0,1,2018,5,0,0,0,0,1
7.9,51000,0,1,2019,5,0,0,0,0,1
14.9,6000,1,1,2020,5,0,0,0,0,1
17.25,12600,1,1,2021,5,0,0,0,0,1
2.3,120000,0,1,2011,5,0,0,0,0,1
7.5,5000,0,1,2022,5,1,0,0,0,0
1.35,120000,0,4,2010,5,0,0,0,0,1
6.95,40000,1,1,2018,5,0,0,0,0,1
7.85,96000,0,1,2018,5,0,0,0,0,1
3.25,67000,0,2,2010,5,0,0,0,0,1
7.9,72000,0,1,2018,5,0,0,0,0,1
3.21,89000,0,1,2013,5,0,0,0,0,1
3.3,64000,0,1,2011,5,0,1,0,0,0
2,120000,0,3,2010,5,0,1,0,0,0
5.4,42000,0,1,2017,5,0,0,0,0,1
2.7,55000,0,1,2017,5,0,0,0,0,1
4.95,30000,0,1,2019,5,0,0,0,0,1
10,86500,1,2,2017,7,0,1,0,0,0
10.5,59000,1,1,2014,5,0,0,0,0,1
3.1,15000,0,1,2018,5,0,0,0,0,1
12,70000,0,1,2019,7,0,1,0,0,0
6,50000,0,2,2017,5,0,0,0,0,1
3,110000,0,1,2012,5,0,1,0,0,0
9.25,13700,1,1,2021,5,0,0,0,0,1
5.7,25000,0,1,2019,5,0,0,0,0,1
11,20000,0,1,2021,5,0,1,0,0,0
18,70000,1,2,2014,5,0,1,0,0,0
1,35000,0,3,2013,5,0,1,0,0,0
27.95,55291,0,1,2017,5,0,1,0,0,0
16.5,58500,1,1,2013,5,0,1,0,0,0
6.5,90000,0,1,2014,5,0,1,0,0,0
13,64000,1,2,2012,5,0,1,0,0,0
4,132596,0,2,2004,5,0,0,0,0,1
1.54,99673,0,3,2008,5,0,0,0,0,1
4.18,24374,1,1,2021,5,0,0,1,0,0
3.92,69828,1,3,2011,5,0,0,0,0,1
5.94,72820,0,2,2016,5,0,0,0,0,1
5.88,31172,1,2,2016,5,0,0,0,0,1
4.52,24395,0,1,2016,5,0,0,0,0,1
18.25,11050,1,1,2021,5,0,0,0,0,1
7.74,123394,0,2,2013,7,0,1,0,0,0
4.21,105053,0,2,2013,5,0,1,0,0,0
8.44,10283,0,1,2021,5,0,0,0,0,1
21.99,2443,0,1,2022,5,0,1,0,0,0
9.95,68000,1,3,2011,5,0,1,0,0,0
9.75,72000,1,1,2013,7,0,1,0,0,0
2.25,38000,0,1,2011,5,0,0,0,0,1
6.5,65000,0,1,2019,5,0,0,0,0,1
18.75,43000,1,2,2014,7,0,1,0,0,0
4.25,52000,0,2,2014,5,0,0,0,0,1
7.45,117000,0,1,2012,7,0,1,0,0,0
8.25,84000,0,1,2016,5,0,0,0,0,1
2.04,45080,0,3,2015,5,0,0,0,0,1
4.7,39341,0,1,2019,5,0,0,0,0,1
3.3,133000,0,1,2007,8,0,1,0,0,0
3.21,54112,1,1,2014,5,0,0,1,0,0
8.2,14824,0,1,2020,5,0,0,0,0,1
9.25,82500,0,1,2017,5,0,0,0,0,1
13.49,17922,0,1,2020,5,0,0,0,0,1
1.23,13000,1,1,2019,7,0,0,0,0,1
16.75,85000,1,1,2015,6,0,1,0,0,0
5.75,67000,1,1,2015,5,0,0,0,0,1
7.45,35000,1,1,2018,5,0,0,0,0,1
3.45,53000,0,1,2016,5,0,0,0,0,1
20.75,598,0,1,2022,5,0,0,0,0,1
8.92,75727,0,1,2019,7,0,1,0,0,0
18.9,7000,1,1,2020,5,0,0,0,0,1
8.58,62403,0,1,2016,5,0,1,0,0,0
4.53,44487,0,2,2014,5,0,1,0,0,0
28.5,47000,1,1,2020,7,0,1,0,0,0
